City,Zip_Code,SSN
Narsaq,3921,679-58-8659
Al Ya‘rubīyah,,451-62-4510
Pak Thong Chai,30150,588-82-6302
Kłoczew,08-550,716-78-4641
Karangnongko,,770-90-6568
Ternopil’,,585-20-9758
Minas de Marcona,,604-56-8897
Manizales,170017,592-07-3376
Bucheon-si,,784-29-1620
Mandaguari,86975-000,477-33-9880
Mozzozzin Sur,6326,496-17-1857
Karbinci,2207,380-11-7534
Cieurih Satu,,447-92-5165
Badīn,72200,109-18-5313
Mirnyy,446368,319-50-3959
Kafr az Zayyāt,,193-81-1734
Netrakona,5405,448-81-4826
Mosteiros,7340-214,419-11-3694
Sypniewo,06-216,370-15-0167
Pontang Tengah,,288-83-5844
Cikalong,,669-48-5928
Ceres,76300-000,510-85-8756
Kuala Lumpur,50672,685-69-9224
Sigayevo,427990,139-72-1957
Andramasina,,261-27-7987
Santa Ana,,476-90-0630
Puyang,,612-66-5132
Kota Kinabalu,88400,751-77-9740
Leśna Podlaska,21-542,511-41-8862
Bosobolo,,373-65-1889
Ya‘bad,,639-55-2443
Guápiles,70201,597-21-5373
Wang Chan,21210,445-43-7864
Saint Helier,JE3,877-89-3359
Maleevsk,,890-05-9088
Tobilolong,,417-38-3667
Norsborg,145 56,745-10-1265
Yur’yev-Pol’skiy,601800,485-86-5087
Villa Dolores,5870,839-32-1486
Ōita,879-7504,868-50-7844
Aubergenville,78415 CEDEX,403-44-8110
Amolatar,,842-80-0010
Qiaoxia,,441-07-5662
Gornyy,413545,713-87-0981
Daqin Tal,,167-45-8335
Pejek,,886-45-7669
Aţ Ţīrah,,793-80-8268
Krajan,,149-23-3065
Qianguo,,701-34-8535
Solok,,264-35-1503
Malichang,,471-73-7681
Corona,92878,122-26-2558
Jiangduo,,719-66-4746
Shishan,,598-22-9662
Qırmızı Samux,,301-49-0278
Ipoh,30620,755-45-0580
Charlotte Amalie,00822,403-83-3789
Šmarje pri Jelšah,3240,316-44-9501
Shymkent,,863-76-4663
Owase,519-3674,747-57-4025
Tuchengzi,,245-10-5386
Kcynia,89-240,434-79-3097
Costa de Rios Frios,3025-592,439-68-0651
Tầm Vu,,645-61-9510
Wat Sing,17120,774-09-6471
Chayek,,532-56-8125
Sukamaju,,701-15-9223
Luchenza,,466-78-2019
Potet,,400-70-4476
San Jose,95128,610-15-9897
Dasha,,573-78-1565
Lansing,48919,820-55-1856
Leramatang,,426-92-8020
Shanhou,,640-15-1633
Qianqiao,,769-93-9900
Amolatar,,463-23-2073
New York City,10270,324-04-6258
Niulanshan,,855-32-6065
Yushang,,449-37-4228
Buniaga,,504-17-0675
Majayjay,4005,361-30-8165
Palmeiros,2440-191,281-66-4428
Tarouca,3610-005,826-40-7966
Encañada,,253-20-7044
Mapiri,,174-08-6980
Akoupé,,790-88-5622
G‘azalkent,,511-45-5921
Cincinnati,45264,263-24-1428
Kiffa,,181-36-7254
Limbalod,9407,760-87-4951
Fenyan,,534-62-8897
Ayagoz,,800-26-1062
Belyy Yar,662927,509-52-8974
Lawesigalagala Timur,,617-41-6783
Al Manāqil,,817-17-3863
Maojia,,815-21-1359
Dachuan,,362-82-3559
Lucheng,,515-83-9360
Huating,,537-46-6900
Yorii,838-0813,154-90-9845
Zamora,,787-68-3358
Marseille,13219 CEDEX 02,767-60-2827
Aveiro,3800-006,692-27-3843
Washington,20226,506-11-2636
Kosmach,,792-37-1861
Dallas,75379,708-41-8011
Santander de Quilichao,191049,236-48-8349
Jeong,,351-14-2163
Arvika,671 41,324-28-2334
Jiangkou,,175-09-6248
Cam Ranh,,890-43-2862
Al Bāţinah,,595-44-2195
Mulhouse,68947 CEDEX 9,680-79-8399
Carvalhal,3450-301,377-44-3119
Birmingham,35290,520-94-5339
Ganjiachang,,287-10-7644
Eastern Suburbs Mc,1325,645-46-1164
Huaccana,,562-77-7336
Yaxi,,309-05-4878
Bellavista,92736,865-56-4776
Shahe,,606-08-7296
Moravská Nová Ves,691 55,567-63-0193
Dongyang,,897-68-4155
Maiorca,3090-469,169-07-3861
Dallas,75216,106-85-8616
Jindaoxia,,880-89-8942
Shreveport,71137,476-77-0648
Santa Elena,4135,122-42-5305
Stýpsi,,144-98-4942
Jakubów,05-306,492-24-6679
Sagasa,9611,275-48-1056
Jacaltenango,13007,468-44-1306
Nangerang,,722-35-6407
Bebedahan,,161-07-1057
Dalkey,A96,820-80-1091
Rostov-na-Donu,353356,524-98-8540
Villeneuve-d'Ascq,59663 CEDEX,537-56-7013
Charleston,25362,122-61-5333
Omišalj,51513,207-73-9800
Starcevica,,883-89-1857
Jongorsari,,442-34-9263
Rio Negrinho,89295-000,803-98-9846
Lautoka,,753-92-2576
Hāfizābād,52111,613-41-4292
Al Balyanā,,678-17-8189
Toyohashi,393-0001,567-21-7446
Paris 10,75480 CEDEX 10,427-38-3208
Xiangshui,,506-06-7129
Sembungan Kidul,,739-02-5565
Abobo,,200-72-3990
Cachada,4615-178,427-99-7171
Wufeng,,456-03-4480
Suwaluh,,697-57-2346
Kuçovë,,477-01-7026
Sarvābād,,733-55-7735
Wenchang,,458-14-3225
Plast,457031,838-06-5383
Beppu,891-0704,562-31-9689
El Quiteño,,824-58-9491
Njeru,,634-92-8888
Kaem,,127-08-2414
Tuncheng,,586-39-8113
Panitian,5309,727-01-7916
Gununglajang,,537-08-8825
Kuzhu,,453-22-6911
Parychy,,253-45-0188
Dapdapan,5806,242-61-4474
Yicheng,,251-59-5454
Caparrapí,253468,819-95-6018
Al Manshāh,,506-26-9019
Huanggang,,670-72-6223
Dulce Nombre,,260-73-5571
Osek nad Bečvou,751 22,111-73-8909
Huquan,,770-18-1279
Česká Skalice,552 03,392-34-3234
Sumberwaru,,145-11-4672
Moses,4415-719,186-55-7745
El Plan,,570-50-9961
Trakan Phut Phon,90120,506-29-0209
Santo Niño,6711,727-04-2636
Baiyang,,791-97-6267
Savski Venac,,173-84-3734
Qaşr al Farāfirah,,484-33-7005
Paço,2530-692,470-59-8685
Huicungo,,578-19-4944
Abreus,,689-10-1567
Zouérat,,418-22-6495
Taiyu,,884-27-6886
Taupo,3352,553-90-7016
Värnamo,331 54,317-11-4044
